Unix Timestamp,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Month,Day of the Week,Hour of the Day,Offloading Decision
1640995200,1,0,1,1,1,0,236,230,1560,24.603559604235475,January,Saturday,0,Local
1641026746,2,1,1,0,0,0,231,229,1715,85.66236501898685,January,Saturday,8,Remote
1641058293,3,0,0,0,1,1,232,224,1773,51.80865163831619,January,Saturday,17,Local
1641089839,4,0,0,0,1,0,234,232,1881,10.215297601950692,January,Sunday,2,Local
1641121386,5,0,0,1,1,1,229,229,1506,62.253948463024386,January,Sunday,11,Local
1641152932,6,0,1,0,0,1,221,221,1549,52.412751728082284,January,Sunday,19,Remote
1641184479,7,0,0,0,0,0,233,226,1947,78.33816930327845,January,Monday,4,Local
1641216025,8,1,0,0,0,1,222,214,1701,62.38486991480966,January,Monday,13,Remote
1641247572,9,0,1,0,1,1,228,219,1837,51.71481384202009,January,Monday,22,Remote
1641279118,10,0,0,0,0,1,236,234,1891,77.25507138892809,January,Tuesday,6,Local
1641310665,11,0,0,0,1,1,232,228,1578,41.411943693528436,January,Tuesday,15,Remote
1641342211,12,1,0,1,0,0,227,221,1743,96.54059668352704,January,Wednesday,0,Remote
1641373758,13,0,0,0,1,0,224,216,1544,32.21094877229124,January,Wednesday,9,Remote
1641405304,14,1,0,1,1,0,237,231,1591,15.007608600209785,January,Wednesday,17,Remote
1641436851,15,0,0,1,1,1,238,235,1898,75.7547087873636,January,Thursday,2,Local
1641468397,16,1,0,0,0,0,233,229,1648,77.09247246501249,January,Thursday,11,Remote
1641499944,17,0,0,1,0,0,239,238,1575,92.38307614504228,January,Thursday,20,Remote
1641531490,18,1,0,0,1,0,228,219,1635,60.50986158100984,January,Friday,4,Local
1641563037,19,1,0,1,0,0,229,223,1967,39.222344929407626,January,Friday,13,Remote
1641594583,20,1,0,0,1,0,229,222,1962,85.61161744666717,January,Friday,22,Local
1641626130,21,1,1,0,1,0,225,219,1551,86.59392595830865,January,Saturday,7,Remote
1641657676,22,1,0,0,1,0,233,226,1638,89.99986376228395,January,Saturday,16,Remote
